gender,car,reality,child_num,work_phone,phone,email,family_size,begin_month,credit,house_type_Co-op apartment,house_type_House / apartment,house_type_Municipal apartment,house_type_Office apartment,house_type_Rented apartment,house_type_With parents,family_type_Civil marriage,family_type_Married,family_type_Separated,family_type_Single / not married,family_type_Widow,edu_type_encoded,age,log_income_total
0,0,1,0,0,1,0,1.0,41.0,2.0,False,True,False,False,False,False,False,False,False,True,False,1,62,11.967187086434018
0,0,1,0,0,0,0,2.0,37.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,63,12.283038316285214
0,0,0,0,0,1,0,2.0,7.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,58,11.967187086434018
0,0,0,0,0,1,0,1.0,5.0,2.0,False,True,False,False,False,False,False,False,False,True,False,1,61,12.218500103788143
0,0,0,0,0,1,0,1.0,24.0,2.0,False,True,False,False,False,False,False,False,False,False,True,1,57,11.813037464800539
0,0,1,0,0,0,0,2.0,4.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,64,11.502885230075814
0,0,1,0,0,1,0,2.0,37.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,65,10.896757843893464
0,0,1,0,0,0,0,2.0,23.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,63,11.87757552297847
0,0,1,0,0,1,0,2.0,25.0,2.0,False,True,False,False,False,False,False,True,False,False,False,3,62,12.793862088206213
1,1,1,0,0,0,0,1.0,1.0,1.0,False,True,False,False,False,False,False,False,True,False,False,1,58,11.630717389475995
0,0,1,0,0,1,0,2.0,34.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,63,12.100717685412471
1,1,1,0,0,1,0,2.0,27.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,64,11.813037464800539
0,0,1,0,0,0,0,2.0,26.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,65,12.100717685412471
1,0,1,0,0,1,0,2.0,14.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,44,11.285409870187191
0,0,0,0,0,0,0,2.0,49.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,57,11.302216779257382
0,0,1,0,0,0,0,1.0,4.0,1.0,False,True,False,False,False,False,False,False,False,False,True,1,58,11.967187086434018
0,1,1,0,0,0,0,1.0,6.0,2.0,False,True,False,False,False,False,False,False,False,False,True,1,62,11.813037464800539
0,0,1,0,0,0,0,2.0,2.0,0.0,False,True,False,False,False,False,False,True,False,False,False,1,66,10.896757843893464
0,0,1,0,0,0,0,2.0,35.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,55,11.407576060361786
0,0,1,0,0,1,0,2.0,51.0,1.0,False,True,False,False,False,False,False,True,False,False,False,3,59,11.938199736300925
0,0,1,0,0,0,0,2.0,24.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,60,11.952798440998814
0,0,1,0,0,1,0,1.0,15.0,2.0,False,True,False,False,False,False,False,False,False,False,True,1,59,13.112315061750808
0,0,1,0,0,0,0,2.0,19.0,0.0,False,True,False,False,False,False,False,True,False,False,False,1,63,12.149507585033072
1,0,0,0,0,0,0,2.0,12.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,55,11.744045122410057
0,0,1,0,0,0,0,2.0,5.0,0.0,False,True,False,False,False,False,False,True,False,False,False,1,56,11.407576060361786
0,0,1,0,0,1,0,2.0,42.0,1.0,False,True,False,False,False,False,False,True,False,False,False,1,62,11.967187086434018
0,0,0,0,0,0,0,1.0,26.0,0.0,False,True,False,False,False,False,False,False,False,False,True,1,54,11.630717389475995
0,0,1,0,0,1,0,1.0,13.0,0.0,False,True,False,False,False,False,False,False,False,True,False,1,63,11.407576060361786
0,0,0,0,0,0,0,2.0,28.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,58,11.707677772181546
0,0,1,0,0,1,0,2.0,18.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,58,11.302216779257382
0,0,0,0,0,0,0,1.0,30.0,0.0,False,True,False,False,False,False,False,False,False,False,True,3,65,11.119897691565697
0,0,1,0,0,0,0,2.0,45.0,1.0,False,True,False,False,False,False,False,True,False,False,False,1,61,11.813037464800539
0,0,0,0,0,1,0,2.0,41.0,0.0,False,True,False,False,False,False,False,True,False,False,False,1,58,11.456365695436427
0,0,1,0,0,0,0,1.0,32.0,1.0,False,True,False,False,False,False,False,False,False,True,False,1,60,11.407576060361786
0,0,1,0,0,0,0,2.0,51.0,2.0,False,True,False,False,False,False,False,True,False,False,False,3,58,11.407576060361786
0,1,0,0,0,1,0,2.0,19.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,62,11.119897691565697
0,0,0,0,0,1,0,2.0,14.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,56,12.218500103788143
0,0,1,0,0,0,0,1.0,17.0,1.0,False,True,False,False,False,False,False,False,False,False,True,1,65,11.967187086434018
0,0,0,0,0,0,0,2.0,33.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,62,11.302216779257382
0,1,1,0,0,0,1,1.0,39.0,2.0,False,True,False,False,False,False,False,False,False,False,True,3,58,12.218500103788143
0,0,1,0,0,0,0,2.0,13.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,62,11.119897691565697
0,0,0,0,0,0,0,1.0,8.0,2.0,False,True,False,False,False,False,False,False,True,False,False,1,58,11.119897691565697
1,1,1,0,0,0,0,2.0,35.0,1.0,False,True,False,False,False,False,False,True,False,False,False,1,54,11.630717389475995
0,0,1,0,0,1,0,2.0,9.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,66,11.245059091624615
1,0,0,0,0,0,0,1.0,5.0,2.0,False,True,False,False,False,False,False,False,False,True,False,1,56,11.407576060361786
1,1,1,0,0,1,0,2.0,22.0,2.0,False,True,False,False,False,False,True,False,False,False,False,1,63,12.100717685412471
0,1,1,0,0,1,0,2.0,7.0,2.0,False,True,False,False,False,False,False,True,False,False,False,3,57,12.616528611893463
0,0,1,0,0,1,0,2.0,5.0,0.0,False,True,False,False,False,False,False,True,False,False,False,1,51,11.630717389475995
0,0,1,0,0,0,0,2.0,14.0,2.0,False,True,False,False,False,False,True,False,False,False,False,1,63,11.407576060361786
0,0,1,0,0,0,0,2.0,28.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,63,12.419169901386761
0,1,1,0,0,0,0,2.0,36.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,59,11.407576060361786
0,0,1,0,0,0,0,2.0,2.0,1.0,False,True,False,False,False,False,False,True,False,False,False,1,48,12.100717685412471
1,1,1,0,0,0,0,2.0,31.0,1.0,False,True,False,False,False,False,False,True,False,False,False,3,66,12.323860125621126
1,1,1,0,0,1,0,2.0,33.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,62,11.302216779257382
0,0,0,0,0,0,0,1.0,9.0,0.0,False,True,False,False,False,False,False,False,False,False,True,1,63,12.100717685412471
0,0,0,0,0,0,0,1.0,6.0,2.0,False,True,False,False,False,False,False,False,False,False,True,1,62,11.119897691565697
0,0,1,0,0,1,0,2.0,2.0,1.0,False,True,False,False,False,False,False,True,False,False,False,1,60,11.407576060361786
0,0,1,0,0,0,0,2.0,22.0,2.0,False,True,False,False,False,False,False,True,False,False,False,3,57,12.506180941677357
0,0,1,0,0,1,0,1.0,1.0,1.0,False,True,False,False,False,False,False,False,False,False,True,1,62,11.502885230075814
0,0,0,1,0,0,0,3.0,0.0,1.0,False,True,False,False,False,False,False,True,False,False,False,1,50,11.407576060361786
0,0,1,0,0,0,0,1.0,18.0,2.0,False,True,False,False,False,False,False,False,False,False,True,1,60,11.813037464800539
0,0,1,0,0,1,0,2.0,9.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,56,11.119897691565697
1,0,1,0,0,0,0,2.0,7.0,0.0,False,True,False,False,False,False,False,True,False,False,False,1,61,10.357774570341576
0,1,1,0,0,0,0,2.0,41.0,0.0,False,True,False,False,False,False,False,True,False,False,False,1,55,10.283669040109793
0,0,1,0,0,0,0,2.0,5.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,60,11.184435286790631
0,0,1,0,0,0,0,2.0,3.0,1.0,False,True,False,False,False,False,False,True,False,False,False,3,61,12.506180941677357
1,1,0,0,0,0,0,2.0,18.0,2.0,False,True,False,False,False,False,False,True,False,False,False,3,55,12.218500103788143
1,1,1,0,0,0,0,2.0,27.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,56,12.218500103788143
1,1,1,0,0,0,0,2.0,10.0,0.0,False,True,False,False,False,False,False,True,False,False,False,1,57,11.456365695436427
0,0,1,0,0,1,0,2.0,15.0,1.0,False,True,False,False,False,False,False,True,False,False,False,1,57,11.813037464800539
0,0,1,0,0,0,0,2.0,28.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,58,11.813037464800539
0,1,0,0,0,0,0,2.0,31.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,56,12.323860125621126
0,0,1,0,0,1,0,1.0,42.0,2.0,False,True,False,False,False,False,False,False,False,True,False,1,55,11.630717389475995
0,0,0,0,0,0,0,2.0,9.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,61,11.630717389475995
0,0,0,0,0,0,0,1.0,32.0,2.0,False,True,False,False,False,False,False,False,False,False,True,1,60,11.58989576532275
0,0,0,0,0,0,0,1.0,28.0,2.0,False,True,False,False,False,False,False,False,True,False,False,1,58,11.87757552297847
0,0,1,0,0,0,0,1.0,34.0,0.0,False,True,False,False,False,False,False,False,False,False,True,1,58,11.707677772181546
0,0,1,0,0,1,0,2.0,15.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,56,10.714439990727769
0,0,1,0,0,0,0,1.0,34.0,1.0,False,True,False,False,False,False,False,False,False,True,False,1,56,11.967187086434018
0,1,1,0,0,0,0,2.0,43.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,63,11.744045122410057
0,0,1,0,0,0,0,1.0,7.0,2.0,False,True,False,False,False,False,False,False,False,False,True,2,59,12.149507585033072
0,0,1,0,0,1,1,1.0,18.0,2.0,False,True,False,False,False,False,False,False,False,True,False,1,46,11.119897691565697
0,0,1,0,0,1,0,2.0,8.0,0.0,False,True,False,False,False,False,False,True,False,False,False,1,61,12.323860125621126
0,0,1,0,0,0,0,1.0,5.0,2.0,False,True,False,False,False,False,False,False,False,False,True,1,64,11.630717389475995
1,0,1,0,0,0,0,2.0,1.0,0.0,False,True,False,False,False,False,True,False,False,False,False,1,60,10.809748150372926
1,0,1,0,0,0,0,2.0,1.0,1.0,False,True,False,False,False,False,False,True,False,False,False,1,66,11.58989576532275
1,0,1,0,0,0,0,2.0,35.0,1.0,False,True,False,False,False,False,False,True,False,False,False,1,63,11.630717389475995
0,0,1,0,0,1,0,1.0,34.0,1.0,False,True,False,False,False,False,False,False,False,False,True,1,54,11.085996650738002
0,0,1,0,0,0,0,2.0,12.0,1.0,False,True,False,False,False,False,False,True,False,False,False,1,62,12.793862088206213
0,0,1,0,0,0,0,1.0,55.0,2.0,False,True,False,False,False,False,False,False,False,False,True,1,63,11.630717389475995
0,0,1,0,0,0,0,2.0,6.0,1.0,False,True,False,False,False,False,False,True,False,False,False,3,60,11.630717389475995
0,1,1,0,0,1,0,2.0,15.0,2.0,False,True,False,False,False,False,False,True,False,False,False,3,64,12.965711906537503
0,0,1,0,0,1,0,2.0,20.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,60,12.100717685412471
0,0,1,0,0,0,0,1.0,55.0,2.0,False,True,False,False,False,False,False,False,True,False,False,1,57,11.967187086434018
0,0,1,0,0,1,0,2.0,21.0,2.0,False,True,False,False,False,False,True,False,False,False,False,1,58,11.630717389475995
0,0,1,0,0,1,0,2.0,12.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,57,11.245059091624615
0,0,1,0,0,0,0,2.0,44.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,58,10.609081944147828
0,0,0,0,0,0,0,1.0,14.0,2.0,False,True,False,False,False,False,False,False,True,False,False,1,64,11.707677772181546
0,0,1,0,0,0,0,2.0,13.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,62,11.813037464800539
1,1,1,0,0,0,0,2.0,42.0,2.0,False,True,False,False,False,False,False,True,False,False,False,3,63,11.813037464800539
0,0,0,0,0,0,0,2.0,2.0,1.0,False,True,False,False,False,False,False,True,False,False,False,1,62,12.283038316285214
0,0,1,0,0,1,0,1.0,16.0,1.0,False,True,False,False,False,False,False,False,False,False,True,1,61,11.813037464800539
0,0,1,0,0,1,0,2.0,42.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,58,12.506180941677357
0,0,1,0,0,0,0,2.0,7.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,58,11.813037464800539
0,0,1,0,0,0,0,1.0,9.0,0.0,False,True,False,False,False,False,False,False,True,False,False,1,55,12.323860125621126
0,0,1,0,0,0,0,2.0,7.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,61,11.813037464800539
0,0,1,0,0,0,0,1.0,47.0,2.0,False,True,False,False,False,False,False,False,False,False,True,1,64,11.302216779257382
0,0,1,0,0,0,1,2.0,7.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,60,11.407576060361786
0,0,1,0,0,0,0,1.0,31.0,2.0,False,False,True,False,False,False,False,False,False,False,True,1,61,12.419169901386761
0,1,1,0,0,1,0,2.0,14.0,1.0,False,True,False,False,False,False,False,True,False,False,False,3,60,12.075400019877522
0,0,1,0,0,0,0,2.0,4.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,56,11.744045122410057
0,0,0,0,0,1,0,1.0,3.0,1.0,False,True,False,False,False,False,False,False,False,False,True,1,58,11.407576060361786
1,0,1,0,0,0,0,2.0,42.0,2.0,False,False,False,False,True,False,False,True,False,False,False,1,45,11.744045122410057
0,0,1,0,0,1,0,2.0,27.0,2.0,False,True,False,False,False,False,True,False,False,False,False,1,54,11.630717389475995
0,0,1,0,0,1,1,2.0,13.0,2.0,False,True,False,False,False,False,False,True,False,False,False,3,64,11.813037464800539
0,0,1,0,0,0,0,2.0,53.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,60,11.302216779257382
0,1,1,0,0,0,0,2.0,27.0,2.0,False,True,False,False,False,False,False,True,False,False,False,3,55,11.813037464800539
1,0,1,0,0,0,0,2.0,20.0,2.0,False,True,False,False,False,False,True,False,False,False,False,1,64,12.100717685412471
0,0,0,0,0,1,0,1.0,41.0,1.0,False,True,False,False,False,False,False,False,False,False,True,1,59,11.407576060361786
1,1,1,0,0,1,0,1.0,10.0,2.0,False,True,False,False,False,False,False,False,False,True,False,3,62,12.793862088206213
0,0,1,0,0,1,0,1.0,47.0,2.0,False,True,False,False,False,False,False,False,True,False,False,1,57,12.323860125621126
0,0,0,0,0,0,0,2.0,41.0,2.0,False,True,False,False,False,False,True,False,False,False,False,1,53,11.995357787034976
0,0,1,0,0,0,0,1.0,56.0,1.0,False,True,False,False,False,False,False,False,False,False,True,1,61,12.261985005589679
0,0,1,0,0,1,0,1.0,43.0,1.0,False,True,False,False,False,False,False,False,False,False,True,1,65,11.119897691565697
0,0,1,0,0,0,0,1.0,5.0,2.0,False,True,False,False,False,False,False,False,False,False,True,1,66,11.813037464800539
0,0,1,0,0,0,0,1.0,24.0,1.0,False,True,False,False,False,False,False,False,False,False,True,1,62,11.547336553476635
0,0,1,0,0,0,0,1.0,4.0,1.0,False,True,False,False,False,False,False,False,False,False,True,1,58,11.967187086434018
0,0,1,0,0,1,0,2.0,24.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,57,11.630717389475995
0,0,1,0,0,0,0,2.0,44.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,64,11.456365695436427
0,0,0,0,0,0,0,2.0,18.0,0.0,False,True,False,False,False,False,False,True,False,False,False,1,65,11.630717389475995
0,0,1,0,0,0,0,1.0,6.0,1.0,False,True,False,False,False,False,False,False,False,True,False,1,59,12.100717685412471
0,0,1,0,0,0,0,2.0,26.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,63,11.630717389475995
0,0,0,0,0,1,0,2.0,1.0,1.0,False,True,False,False,False,False,False,True,False,False,False,1,57,11.87757552297847
1,1,1,0,0,0,1,2.0,20.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,57,12.793862088206213
1,1,1,0,0,0,0,1.0,34.0,1.0,False,True,False,False,False,False,False,False,False,True,False,1,54,12.586223364451623
0,0,1,0,0,0,0,2.0,10.0,2.0,False,False,True,False,False,False,False,True,False,False,False,1,65,12.323860125621126
0,0,1,0,0,0,0,1.0,20.0,2.0,False,True,False,False,False,False,False,False,False,True,False,1,66,11.967187086434018
0,0,1,0,0,0,0,1.0,9.0,2.0,False,True,False,False,False,False,False,False,False,False,True,1,58,11.967187086434018
0,0,0,0,0,0,0,2.0,45.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,62,12.283038316285214
0,0,1,0,0,0,0,1.0,21.0,2.0,False,True,False,False,False,False,False,False,False,True,False,1,63,12.323860125621126
0,0,0,0,0,1,0,1.0,43.0,2.0,False,True,False,False,False,False,False,False,True,False,False,1,63,11.938199736300925
0,0,1,0,0,0,0,2.0,11.0,2.0,False,True,False,False,False,False,False,True,False,False,False,3,49,11.669937760751914
0,0,1,0,0,0,0,2.0,58.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,56,10.896757843893464
0,0,0,0,0,1,0,2.0,16.0,0.0,False,True,False,False,False,False,False,True,False,False,False,3,52,12.100717685412471
0,0,1,0,0,1,0,2.0,16.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,56,11.967187086434018
0,0,1,0,0,0,0,2.0,35.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,58,12.218500103788143
0,0,1,0,0,0,0,2.0,55.0,1.0,False,True,False,False,False,False,False,True,False,False,False,1,65,11.502885230075814
0,1,1,0,0,0,0,2.0,16.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,58,11.630717389475995
1,0,0,0,0,0,0,2.0,1.0,1.0,False,False,True,False,False,False,False,True,False,False,False,1,63,11.813037464800539
0,0,0,0,0,1,0,1.0,8.0,0.0,False,True,False,False,False,False,False,False,False,False,True,1,56,11.908346971208951
0,0,1,0,0,0,0,2.0,39.0,2.0,False,True,False,False,False,False,False,True,False,False,False,3,60,12.419169901386761
0,0,0,0,0,0,0,1.0,58.0,2.0,False,True,False,False,False,False,False,False,False,False,True,1,60,11.630717389475995
0,0,1,0,0,0,0,2.0,9.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,59,11.967187086434018
0,0,1,0,0,0,0,1.0,12.0,2.0,False,True,False,False,False,False,False,False,False,False,True,1,64,11.119897691565697
0,0,1,0,0,0,0,2.0,53.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,60,12.323860125621126
0,0,1,0,0,0,0,2.0,22.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,47,12.218500103788143
0,0,1,0,0,0,0,2.0,42.0,1.0,False,True,False,False,False,False,False,True,False,False,False,1,64,11.630717389475995
0,0,1,0,0,0,0,1.0,55.0,2.0,False,True,False,False,False,False,False,False,False,True,False,1,61,11.407576060361786
0,0,1,0,0,0,0,2.0,12.0,2.0,False,True,False,False,False,False,False,True,False,False,False,3,56,10.97679912709094
0,0,1,0,0,0,0,2.0,9.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,67,11.630717389475995
1,0,1,0,0,0,0,2.0,37.0,2.0,False,True,False,False,False,False,False,True,False,False,False,3,67,12.19602736016897
0,0,0,0,0,1,0,1.0,30.0,1.0,False,True,False,False,False,False,False,False,False,False,True,1,59,11.407576060361786
0,1,1,0,0,0,0,2.0,22.0,1.0,False,True,False,False,False,False,False,True,False,False,False,1,65,12.506180941677357
0,0,1,0,0,1,0,2.0,20.0,0.0,False,True,False,False,False,False,False,True,False,False,False,1,66,11.245059091624615
1,1,1,0,0,0,0,2.0,14.0,2.0,False,True,False,False,False,False,False,True,False,False,False,3,64,12.218500103788143
0,0,1,0,0,0,0,1.0,8.0,2.0,False,True,False,False,False,False,False,False,True,False,False,1,61,11.967187086434018
0,0,1,0,0,0,0,2.0,10.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,57,11.302216779257382
0,0,1,0,0,0,0,1.0,4.0,2.0,False,True,False,False,False,False,False,False,False,False,True,2,66,12.173037959397275
0,0,0,0,0,1,0,1.0,10.0,1.0,False,True,False,False,False,False,False,False,False,False,True,1,55,11.967187086434018
0,0,1,0,0,0,0,2.0,20.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,65,12.100717685412471
0,0,0,0,0,0,0,1.0,51.0,0.0,False,True,False,False,False,False,False,False,False,True,False,3,68,11.744045122410057
0,0,0,0,0,0,0,2.0,59.0,2.0,False,True,False,False,False,False,False,True,False,False,False,3,57,11.245059091624615
0,0,1,0,0,0,0,1.0,16.0,2.0,False,True,False,False,False,False,False,False,False,True,False,0,58,12.218500103788143
1,0,1,0,0,1,0,1.0,3.0,1.0,False,True,False,False,False,False,False,False,False,False,True,1,65,11.302216779257382
1,0,1,0,0,0,0,1.0,4.0,2.0,False,True,False,False,False,False,False,False,False,True,False,1,55,12.660331092405906
0,0,1,0,0,1,0,2.0,59.0,0.0,False,True,False,False,False,False,False,True,False,False,False,1,63,11.58989576532275
0,0,1,0,0,0,0,2.0,35.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,67,11.407576060361786
1,1,0,0,0,0,0,2.0,23.0,1.0,False,True,False,False,False,False,False,True,False,False,False,0,67,11.119897691565697
0,0,1,0,0,0,0,1.0,7.0,2.0,False,True,False,False,False,False,False,False,False,True,False,0,58,12.218500103788143
0,1,0,0,0,0,0,2.0,30.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,56,11.245059091624615
0,0,1,0,0,0,0,2.0,20.0,2.0,False,True,False,False,False,False,False,True,False,False,False,0,61,11.813037464800539
0,0,1,0,0,1,0,2.0,8.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,64,11.502885230075814
0,0,1,0,0,1,0,2.0,6.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,65,10.937579097686422
0,1,1,0,0,0,0,2.0,39.0,1.0,False,True,False,False,False,False,False,True,False,False,False,1,54,12.323860125621126
0,0,1,1,0,0,0,3.0,6.0,1.0,False,True,False,False,False,False,True,False,False,False,False,1,48,12.049424683420915
1,1,1,0,0,0,0,2.0,10.0,1.0,False,True,False,False,False,False,False,True,False,False,False,3,65,12.323860125621126
0,1,1,0,0,0,0,2.0,6.0,1.0,False,True,False,False,False,False,False,True,False,False,False,1,55,10.283669040109793
0,1,0,0,0,1,0,2.0,57.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,65,10.937579097686422
0,0,0,0,0,0,0,1.0,17.0,2.0,False,True,False,False,False,False,False,False,True,False,False,1,58,11.119897691565697
0,0,0,0,0,1,0,1.0,0.0,1.0,False,True,False,False,False,False,False,False,False,True,False,3,63,11.302216779257382
0,0,1,0,0,0,0,2.0,45.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,63,11.630717389475995
0,0,1,0,0,0,0,2.0,9.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,62,11.407576060361786
0,0,1,0,0,0,0,2.0,35.0,2.0,False,True,False,False,False,False,False,True,False,False,False,1,67,11.407576060361786
0,0,1,0,0,1,0,2.0,9.0,2.0,False,True,False,False,False,False,True,False,False,False,False,1,62,12.586223364451623
0,0,1,0,0,0,0,1.0,45.0,2.0,False,True,False,False,False,False,False,False,False,True,False,1,64,12.100717685412471
0,0,1,0,0,0,0,1.0,1.0,1.0,False,True,False,False,False,False,False,False,False,False,True,1,63,11.43226840195242
0,0,1,0,0,0,0,2.0,17.0,1.0,False,True,False,False,False,False,False,True,False,False,False,1,60,11.184435286790631
0,0,1,0,0,0,0,2.0,22.0,1.0,False,True,False,False,False,False,True,False,False,False,False,1,60,12.218500103788143
0,1,1,0,0,0,0,2.0,36.0,2.0,False,True,False,False,False,False,True,False,False,False,False,1,58,11.502885230075814
